"Datazone","uptake_measure","uptake_rate","demand_measure","demand_rate","display_year","predicted_uptake_rate","outliers"
"S01013243","FSM",0.581395348837209,"cilif_age_10_18",0.488372093023256,2023,0.20809730790675,"Normal"
"S01013244","FSM",0.377049180327869,"cilif_age_10_18",0.590163934426229,2023,0.224957716724028,"Normal"
"S01013245","FSM",0.177570093457944,"cilif_age_10_18",0.168224299065421,2023,0.155069259551579,"Normal"
"S01013246","FSM",0.2,"cilif_age_10_18",0.257142857142857,2023,0.169797387267566,"Normal"
"S01013247","FSM",0.507692307692308,"cilif_age_10_18",0.461538461538462,2023,0.203652688469179,"Normal"
"S01013248","FSM",0.12,"cilif_age_10_18",0.32,2023,0.180208802475804,"Normal"
"S01013249","FSM",0.288888888888889,"cilif_age_10_18",0.2,2023,0.160332464350986,"Normal"
"S01013250","FSM",0.11965811965812,"cilif_age_10_18",0.196581196581197,2023,0.159766186911532,"Normal"
"S01013251","FSM",0.201834862385321,"cilif_age_10_18",0.623853211009174,2023,0.230537878828554,"Normal"
"S01013252","FSM",0.206896551724138,"cilif_age_10_18",0.448275862068966,2023,0.201455922540264,"Normal"
"S01013253","FSM",0.0882352941176471,"cilif_age_10_18",0.338235294117647,2023,0.183229226406536,"Normal"
"S01013254","FSM",0.376811594202899,"cilif_age_10_18",0.507246376811594,2023,0.21122357162709,"Normal"
"S01013255","FSM",0.193181818181818,"cilif_age_10_18",0.272727272727273,2023,0.172378729881178,"Normal"
"S01013256","FSM",0.0952380952380952,"cilif_age_10_18",0.25,2023,0.168614271902993,"Normal"
"S01013257","FSM",0,"cilif_age_10_18",0.3,2023,0.176896079455001,"Normal"
"S01013258","FSM",0.304347826086957,"cilif_age_10_18",0.304347826086957,2023,0.177616236633436,"Normal"
"S01013259","FSM",0.358974358974359,"cilif_age_10_18",0.538461538461538,2023,0.216393930856883,"Normal"
"S01013260","FSM",0.0747663551401869,"cilif_age_10_18",0.280373831775701,2023,0.173645276490661,"Normal"
"S01013261","FSM",0.053763440860215,"cilif_age_10_18",0.924731182795699,2023,0.280374148008041,"Lower"
"S01013262","FSM",0.702127659574468,"cilif_age_10_18",0.51063829787234,2023,0.211785396376224,"Normal"
"S01013263","FSM",0.222222222222222,"cilif_age_10_18",NA,2023,NA,NA
"S01013264","FSM",0.028169014084507,"cilif_age_10_18",NA,2023,NA,NA
"S01013265","FSM",0.025974025974026,"cilif_age_10_18",NA,2023,NA,NA
"S01013266","FSM",0.036144578313253,"cilif_age_10_18",NA,2023,NA,NA
"S01013267","FSM",0.207547169811321,"cilif_age_10_18",0.283018867924528,2023,0.174083390097715,"Normal"
"S01013268","FSM",0.0428571428571429,"cilif_age_10_18",0.385714285714286,2023,0.191093463829871,"Normal"
"S01013269","FSM",0.0227272727272727,"cilif_age_10_18",0.122727272727273,2023,0.147533307225156,"Normal"
"S01013270","FSM",0.01,"cilif_age_10_18",NA,2023,NA,NA
"S01013271","FSM",0.0983606557377049,"cilif_age_10_18",NA,2023,NA,NA
"S01013272","FSM",0.07,"cilif_age_10_18",NA,2023,NA,NA
"S01013273","FSM",0.099290780141844,"cilif_age_10_18",0.099290780141844,2023,0.143651376799424,"Normal"
"S01013274","FSM",0.103448275862069,"cilif_age_10_18",0.155172413793103,2023,0.152907395511255,"Normal"
"S01013275","FSM",0.0476190476190476,"cilif_age_10_18",0.166666666666667,2023,0.154811259316314,"Normal"
"S01013276","FSM",0,"cilif_age_10_18",NA,2023,NA,NA
"S01013277","FSM",0.326530612244898,"cilif_age_10_18",0.428571428571429,2023,0.198192156017306,"Normal"
"S01013278","FSM",0.0808080808080808,"cilif_age_10_18",0.454545454545455,2023,0.20249439370666,"Normal"
"S01013279","FSM",0.432432432432432,"cilif_age_10_18",0.432432432432432,2023,0.198831677835993,"Normal"
"S01013280","FSM",0.363636363636364,"cilif_age_10_18",0.493506493506494,2023,0.208947750240692,"Normal"
"S01013281","FSM",0.417910447761194,"cilif_age_10_18",0.626865671641791,2023,0.2310368512129,"Normal"
"S01013282","FSM",0,"cilif_age_10_18",0.37962962962963,2023,0.190085624815605,"Normal"
"S01013283","FSM",0.0344827586206896,"cilif_age_10_18",0.758620689655172,2023,0.252860245276863,"Lower"
"S01013284","FSM",0.206896551724138,"cilif_age_10_18",NA,2023,NA,NA
"S01013285","FSM",0.0444444444444444,"cilif_age_10_18",0.177777777777778,2023,0.156651660994538,"Normal"
"S01013286","FSM",1.05769230769231,"cilif_age_10_18",0.230769230769231,2023,0.165428961306067,"Higher"
"S01013287","FSM",0.244897959183673,"cilif_age_10_18",0.224489795918367,2023,0.164388859886663,"Normal"
"S01013288","FSM",0.0428571428571429,"cilif_age_10_18",NA,2023,NA,NA
"S01013289","FSM",0.187134502923977,"cilif_age_10_18",NA,2023,NA,NA
"S01013290","FSM",0.304761904761905,"cilif_age_10_18",NA,2023,NA,NA
"S01013291","FSM",0.241379310344828,"cilif_age_10_18",0.160919540229885,2023,0.153859327413784,"Normal"
"S01013292","FSM",0.0579710144927536,"cilif_age_10_18",0.0579710144927536,2023,0.136807329855428,"Normal"
"S01013293","FSM",0.0526315789473684,"cilif_age_10_18",0.394736842105263,2023,0.192587925343015,"Normal"
"S01013294","FSM",0.0961538461538462,"cilif_age_10_18",0.346153846153846,2023,0.184540824887623,"Normal"
"S01013295","FSM",0.407407407407407,"cilif_age_10_18",0.296296296296296,2023,0.176282612228926,"Normal"
"S01013296","FSM",0,"cilif_age_10_18",0.375,2023,0.189318790783012,"Normal"
"S01013297","FSM",0.0925925925925926,"cilif_age_10_18",0.444444444444444,2023,0.200821301271911,"Normal"
"S01013298","FSM",0,"cilif_age_10_18",0.0896551724137931,2023,0.142055371822417,"Normal"
"S01013299","FSM",0.0727272727272727,"cilif_age_10_18",0.318181818181818,2023,0.179907645837549,"Normal"
"S01013300","FSM",0.5,"cilif_age_10_18",0.3125,2023,0.178966531343002,"Normal"
"S01013301","FSM",0.26984126984127,"cilif_age_10_18",0.523809523809524,2023,0.213967027544939,"Normal"
"S01013302","FSM",0.426229508196721,"cilif_age_10_18",0.278688524590164,2023,0.173366128695129,"Normal"
"S01013303","FSM",0.0571428571428571,"cilif_age_10_18",0.214285714285714,2023,0.162698695080131,"Normal"
"S01013304","FSM",0.0842105263157895,"cilif_age_10_18",0.663157894736842,2023,0.237048155359055,"Normal"
"S01013305","FSM",0,"cilif_age_10_18",0.358208955223881,2023,0.186537586754353,"Normal"
"S01013306","FSM",0.130434782608696,"cilif_age_10_18",0.391304347826087,2023,0.192019380202145,"Normal"
"S01013307","FSM",0.209090909090909,"cilif_age_10_18",0.290909090909091,2023,0.175390296263726,"Normal"
"S01013308","FSM",0.158620689655172,"cilif_age_10_18",0.572413793103448,2023,0.222017651634904,"Normal"
"S01013309","FSM",0,"cilif_age_10_18",0.0851063829787234,2023,0.1413019278485,"Normal"
"S01013310","FSM",0.0147058823529412,"cilif_age_10_18",0.485294117647059,2023,0.20758748391244,"Lower"
"S01013311","FSM",0.0603448275862069,"cilif_age_10_18",0.439655172413793,2023,0.20002802468647,"Normal"
"S01013312","FSM",0.055045871559633,"cilif_age_10_18",0.376146788990826,2023,0.189508740497507,"Normal"
"S01013313","FSM",0.04,"cilif_age_10_18",0.36,2023,0.18683424851741,"Normal"
"S01013314","FSM",0.175438596491228,"cilif_age_10_18",0.473684210526316,2023,0.205664463583027,"Normal"
"S01013315","FSM",0,"cilif_age_10_18",0.147058823529412,2023,0.15156349164886,"Normal"
"S01013316","FSM",0.127272727272727,"cilif_age_10_18",0.309090909090909,2023,0.178401862646275,"Normal"
"S01013317","FSM",0.932203389830508,"cilif_age_10_18",NA,2023,NA,NA
"S01013318","FSM",0.0483870967741935,"cilif_age_10_18",NA,2023,NA,NA
"S01013319","FSM",0.176470588235294,"cilif_age_10_18",0.161764705882353,2023,0.15399931739945,"Normal"
"S01013320","FSM",0.101449275362319,"cilif_age_10_18",0.231884057971014,2023,0.165613616992845,"Normal"
"S01013321","FSM",0.269230769230769,"cilif_age_10_18",0.307692307692308,2023,0.178170203693771,"Normal"
"S01013322","FSM",0.0729166666666667,"cilif_age_10_18",0.614583333333333,2023,0.229002451969714,"Normal"
"S01013323","FSM",0.032967032967033,"cilif_age_10_18",0.131868131868132,2023,0.149047363950448,"Normal"
"S01013324","FSM",0.0533333333333333,"cilif_age_10_18",0.386666666666667,2023,0.191251212545147,"Normal"
"S01013325","FSM",0.0064516129032258,"cilif_age_10_18",0.341935483870968,2023,0.183842111595394,"Normal"
"S01013326","FSM",0.142857142857143,"cilif_age_10_18",0.414285714285714,2023,0.195825925288161,"Normal"
"S01013327","FSM",0.304761904761905,"cilif_age_10_18",0.371428571428571,2023,0.188727233100726,"Normal"
"S01013328","FSM",0.0684931506849315,"cilif_age_10_18",0.726027397260274,2023,0.247461617774845,"Normal"
"S01013329","FSM",0.0632911392405063,"cilif_age_10_18",0.632911392405063,2023,0.232038241130392,"Normal"
"S01013330","FSM",0.0485436893203883,"cilif_age_10_18",0.087378640776699,2023,0.141678295884328,"Normal"
"S01013331","FSM",0.378787878787879,"cilif_age_10_18",0.136363636363636,2023,0.149791982012067,"Normal"
"S01013332","FSM",0.12,"cilif_age_10_18",0.23,2023,0.16530154888219,"Normal"
"S01013333","FSM",0,"cilif_age_10_18",0.191780821917808,2023,0.158971071328738,"Normal"
"S01013334","FSM",0.375,"cilif_age_10_18",0.4375,2023,0.199671050223021,"Normal"
"S01013335","FSM",0.037593984962406,"cilif_age_10_18",0.56390977443609,2023,0.220609078714469,"Normal"
"S01013336","FSM",0.0483870967741935,"cilif_age_10_18",0.620967741935484,2023,0.230059940837242,"Normal"
"S01013337","FSM",0.127659574468085,"cilif_age_10_18",0.191489361702128,2023,0.158922794980431,"Normal"
"S01013338","FSM",0.288461538461538,"cilif_age_10_18",0.0769230769230769,2023,0.139946476530659,"Normal"
"S01013339","FSM",0.363636363636364,"cilif_age_10_18",0.25,2023,0.168614271902993,"Normal"
"S01013340","FSM",0.117647058823529,"cilif_age_10_18",0.156862745098039,2023,0.153187375482587,"Normal"
"S01013341","FSM",0.363636363636364,"cilif_age_10_18",0.329545454545455,2023,0.181789874826641,"Normal"
"S01013342","FSM",0.4125,"cilif_age_10_18",0.525,2023,0.214164213439034,"Normal"
"S01013343","FSM",0.0365853658536585,"cilif_age_10_18",0.182926829268293,2023,0.157504530064934,"Normal"
"S01013344","FSM",0.106060606060606,"cilif_age_10_18",0.265151515151515,2023,0.171123910555117,"Normal"
"S01013345","FSM",0.120879120879121,"cilif_age_10_18",0.428571428571429,2023,0.198192156017306,"Normal"
"S01013346","FSM",0.0431034482758621,"cilif_age_10_18",0.0948275862068966,2023,0.142912110534694,"Normal"
"S01013347","FSM",0.169230769230769,"cilif_age_10_18",0.169230769230769,2023,0.155235967395904,"Normal"
"S01013348","FSM",0,"cilif_age_10_18",0.358024691358025,2023,0.186507065996836,"Normal"
"S01013349","FSM",0.183098591549296,"cilif_age_10_18",0.28169014084507,2023,0.173863304858491,"Normal"
"S01013350","FSM",0.144578313253012,"cilif_age_10_18",0.397590361445783,2023,0.193060571303497,"Normal"
"S01013351","FSM",0.102564102564103,"cilif_age_10_18",0.294871794871795,2023,0.17604666329582,"Normal"
"S01013352","FSM",0.0326086956521739,"cilif_age_10_18",0.358695652173913,2023,0.186618201363879,"Normal"
"S01013353","FSM",0.0560747663551402,"cilif_age_10_18",0.495327102803738,2023,0.209249308957236,"Normal"
"S01013354","FSM",0.0327868852459016,"cilif_age_10_18",0.147540983606557,2023,0.151643354788224,"Normal"
"S01013355","FSM",0.072463768115942,"cilif_age_10_18",0.289855072463768,2023,0.175215712705318,"Normal"
"S01013356","FSM",0.226190476190476,"cilif_age_10_18",0.392857142857143,2023,0.192276579194443,"Normal"
"S01013357","FSM",0.140625,"cilif_age_10_18",0.1328125,2023,0.149203785452975,"Normal"
"S01013358","FSM",0.920634920634921,"cilif_age_10_18",0.428571428571429,2023,0.198192156017306,"Higher"
"S01013359","FSM",0.36986301369863,"cilif_age_10_18",0.397260273972603,2023,0.193005896884933,"Normal"
"S01013360","FSM",0.0138888888888889,"cilif_age_10_18",0.486111111111111,2023,0.207722807565251,"Lower"
"S01013361","FSM",0.175,"cilif_age_10_18",0.5,2023,0.210023309663031,"Normal"
"S01013362","FSM",0.142857142857143,"cilif_age_10_18",0.914285714285714,2023,0.278644000808236,"Normal"
"S01013363","FSM",0.476190476190476,"cilif_age_10_18",0.650793650793651,2023,0.235000189581783,"Normal"
"S01013364","FSM",0.123809523809524,"cilif_age_10_18",0.276190476190476,2023,0.172952361573092,"Normal"
"S01013365","FSM",0,"cilif_age_10_18",0.37037037037037,2023,0.188551956750419,"Normal"
"S01013366","FSM",0.0679611650485437,"cilif_age_10_18",0.145631067961165,2023,0.151327003711909,"Normal"
"S01013367","FSM",0.0731707317073171,"cilif_age_10_18",0.195121951219512,2023,0.159524483126399,"Normal"
"S01013368","FSM",0.246376811594203,"cilif_age_10_18",0.347826086956522,2023,0.18481780841779,"Normal"
"S01013369","FSM",0.157894736842105,"cilif_age_10_18",0.431578947368421,2023,0.19869030985502,"Normal"
"S01013370","FSM",0.224137931034483,"cilif_age_10_18",0.362068965517241,2023,0.18717694400232,"Normal"
"S01013371","FSM",0.127659574468085,"cilif_age_10_18",0.319148936170213,2023,0.180067835538748,"Normal"
"S01013372","FSM",0,"cilif_age_10_18",0.541353383458647,2023,0.216872924931608,"Lower"
"S01013373","FSM",0.0491803278688525,"cilif_age_10_18",0.327868852459016,2023,0.181512168910218,"Normal"
"S01013374","FSM",0.0714285714285714,"cilif_age_10_18",0.887755102040816,2023,0.274249572311252,"Lower"
"S01013375","FSM",0.263157894736842,"cilif_age_10_18",0.473684210526316,2023,0.205664463583027,"Normal"
"S01013376","FSM",0.150943396226415,"cilif_age_10_18",0.490566037735849,2023,0.208460704464539,"Normal"
"S01013377","FSM",0,"cilif_age_10_18",0.333333333333333,2023,0.182417284489672,"Normal"
"S01013378","FSM",0.209302325581395,"cilif_age_10_18",0.546511627906977,2023,0.217727316688154,"Normal"
"S01013379","FSM",0,"cilif_age_10_18",0.255813953488372,2023,0.169577272781133,"Normal"
"S01013380","FSM",0.0411764705882353,"cilif_age_10_18",0.185294117647059,2023,0.157896638600395,"Normal"
"S01013381","FSM",0.0256410256410256,"cilif_age_10_18",0.666666666666667,2023,0.237629334836389,"Lower"
"S01013382","FSM",0,"cilif_age_10_18",0.232876712328767,2023,0.165778036439977,"Normal"
"S01013383","FSM",0.181818181818182,"cilif_age_10_18",0.254545454545455,2023,0.16936716349863,"Normal"
"S01013384","FSM",0.0782608695652174,"cilif_age_10_18",0.147826086956522,2023,0.15169057820976,"Normal"
"S01013385","FSM",0.636363636363636,"cilif_age_10_18",0.242424242424242,2023,0.167359452576931,"Normal"
"S01013386","FSM",0.121212121212121,"cilif_age_10_18",0.257575757575758,2023,0.169869091229055,"Normal"
"S01013387","FSM",0.0705882352941176,"cilif_age_10_18",0.129411764705882,2023,0.148640500748151,"Normal"
"S01013388","FSM",0,"cilif_age_10_18",0.202898550724638,2023,0.160812569136609,"Normal"
"S01013389","FSM",0.0394736842105263,"cilif_age_10_18",0.144736842105263,2023,0.151178887582977,"Normal"
"S01013390","FSM",0.379310344827586,"cilif_age_10_18",0.482758620689655,2023,0.207167513955442,"Normal"
"S01013391","FSM",0,"cilif_age_10_18",0.363636363636364,2023,0.187436561793919,"Normal"
"S01013392","FSM",0,"cilif_age_10_18",0.13953488372093,2023,0.150317255218325,"Normal"
"S01013393","FSM",0.0246913580246913,"cilif_age_10_18",0.222222222222222,2023,0.164013267707433,"Normal"
"S01013394","FSM",0.658823529411765,"cilif_age_10_18",0.623529411764706,2023,0.23048424596799,"Normal"
"S01013395","FSM",0.253333333333333,"cilif_age_10_18",0.84,2023,0.266339601016682,"Normal"
"S01013396","FSM",0.10377358490566,"cilif_age_10_18",0.160377358490566,2023,0.153769522517319,"Normal"
"S01013397","FSM",0.269662921348315,"cilif_age_10_18",0.471910112359551,2023,0.205370608791116,"Normal"
"S01013398","FSM",0.0416666666666667,"cilif_age_10_18",0.0833333333333333,2023,0.141008246729635,"Normal"
"S01013399","FSM",0.13125,"cilif_age_10_18",0.10625,2023,0.144804075190971,"Normal"
"S01013400","FSM",0.197368421052632,"cilif_age_10_18",0.342105263157895,2023,0.183870233183007,"Normal"
"S01013401","FSM",0.056910569105691,"cilif_age_10_18",0.150406504065041,2023,0.152117988567694,"Normal"
"S01013402","FSM",0.0819672131147541,"cilif_age_10_18",0.131147540983607,2023,0.14892800804986,"Normal"
"S01013403","FSM",0.0633802816901408,"cilif_age_10_18",0.0774647887323944,2023,0.140036203589728,"Normal"
"S01013404","FSM",0.164556962025316,"cilif_age_10_18",0.253164556962025,2023,0.16913843693793,"Normal"
"S01013405","FSM",0.119047619047619,"cilif_age_10_18",0.428571428571429,2023,0.198192156017306,"Normal"
"S01013406","FSM",0.0975609756097561,"cilif_age_10_18",0.365853658536585,2023,0.187803825986913,"Normal"
"S01013407","FSM",0.216666666666667,"cilif_age_10_18",0.65,2023,0.234868732319053,"Normal"
"S01013408","FSM",0.036144578313253,"cilif_age_10_18",0.397590361445783,2023,0.193060571303497,"Normal"
"S01013409","FSM",0.100840336134454,"cilif_age_10_18",0.34453781512605,2023,0.184273151728217,"Normal"
"S01013410","FSM",0.0120481927710843,"cilif_age_10_18",0.433734939759036,2023,0.199047420136274,"Normal"
"S01013411","FSM",0.240740740740741,"cilif_age_10_18",0.425925925925926,2023,0.197753965141538,"Normal"
"S01013412","FSM",0.253731343283582,"cilif_age_10_18",0.17910447761194,2023,0.156871410448654,"Normal"
"S01013413","FSM",0.156626506024096,"cilif_age_10_18",0.144578313253012,2023,0.151152629474062,"Normal"
"S01013414","FSM",0.452380952380952,"cilif_age_10_18",0.571428571428571,2023,0.221854463308756,"Normal"
"S01013415","FSM",0.641025641025641,"cilif_age_10_18",0.666666666666667,2023,0.237629334836389,"Normal"
"S01013416","FSM",0.118421052631579,"cilif_age_10_18",0.223684210526316,2023,0.164255425822989,"Normal"
"S01013417","FSM",0.319148936170213,"cilif_age_10_18",0.51063829787234,2023,0.211785396376224,"Normal"
"S01013418","FSM",0.810810810810811,"cilif_age_10_18",0.635135135135135,2023,0.232406573317105,"Higher"
"S01013419","FSM",0.51219512195122,"cilif_age_10_18",NA,2023,NA,NA
"S01013420","FSM",0.222222222222222,"cilif_age_10_18",0.305555555555556,2023,0.177816280294113,"Normal"
"S01013421","FSM",0.0491803278688525,"cilif_age_10_18",0.0737704918032787,2023,0.13942429446559,"Normal"
"S01013422","FSM",0.102941176470588,"cilif_age_10_18",0.352941176470588,2023,0.185665052157126,"Normal"
"S01013423","FSM",0.359550561797753,"cilif_age_10_18",0.224719101123595,2023,0.16442684111827,"Normal"
"S01013424","FSM",0.793103448275862,"cilif_age_10_18",NA,2023,NA,NA
"S01013425","FSM",0,"cilif_age_10_18",NA,2023,NA,NA
"S01013426","FSM",0,"cilif_age_10_18",0.380952380952381,2023,0.190304720253489,"Normal"
"S01013427","FSM",0.725,"cilif_age_10_18",0.1,2023,0.143768849246971,"Higher"
"S01013428","FSM",0.32,"cilif_age_10_18",0.35,2023,0.185177887007008,"Normal"
"S01013429","FSM",0.0121951219512195,"cilif_age_10_18",0.280487804878049,2023,0.173664154556656,"Normal"
"S01013430","FSM",0.028169014084507,"cilif_age_10_18",0.154929577464789,2023,0.1528671730365,"Normal"
"S01013431","FSM",0.350649350649351,"cilif_age_10_18",0.298701298701299,2023,0.176680967570533,"Normal"
"S01013432","FSM",0.48314606741573,"cilif_age_10_18",0.134831460674157,2023,0.149538198328144,"Normal"
"S01013433","FSM",0.142857142857143,"cilif_age_10_18",0.142857142857143,2023,0.150867541434406,"Normal"
"S01013434","FSM",0.0769230769230769,"cilif_age_10_18",NA,2023,NA,NA
"S01013435","FSM",0.0540540540540541,"cilif_age_10_18",NA,2023,NA,NA
"S01013436","FSM",0,"cilif_age_10_18",0.241666666666667,2023,0.167233970644325,"Normal"
"S01013437","FSM",0.0153846153846154,"cilif_age_10_18",0.307692307692308,2023,0.178170203693771,"Normal"
"S01013438","FSM",0.0574712643678161,"cilif_age_10_18",0.137931034482759,2023,0.150051599803666,"Normal"
"S01013439","FSM",0.383838383838384,"cilif_age_10_18",0.0808080808080808,2023,0.140589973620947,"Normal"
"S01013440","FSM",0.0521739130434783,"cilif_age_10_18",NA,2023,NA,NA
"S01013441","FSM",0.0645161290322581,"cilif_age_10_18",NA,2023,NA,NA
"S01013442","FSM",0.046875,"cilif_age_10_18",0.125,2023,0.147909753022974,"Normal"
"S01013443","FSM",0.0188679245283019,"cilif_age_10_18",NA,2023,NA,NA
"S01013444","FSM",0.254901960784314,"cilif_age_10_18",0.411764705882353,2023,0.195408355159488,"Normal"
"S01013445","FSM",0.168831168831169,"cilif_age_10_18",0.142857142857143,2023,0.150867541434406,"Normal"
"S01013446","FSM",0.172839506172839,"cilif_age_10_18",0.135802469135802,2023,0.149699032432359,"Normal"
"S01013447","FSM",0.240740740740741,"cilif_age_10_18",NA,2023,NA,NA
"S01013448","FSM",0.0350877192982456,"cilif_age_10_18",NA,2023,NA,NA
"S01013449","FSM",0.137931034482759,"cilif_age_10_18",NA,2023,NA,NA
"S01013450","FSM",0.542372881355932,"cilif_age_10_18",0.135593220338983,2023,0.149664373267044,"Normal"
"S01013451","FSM",0.0919540229885058,"cilif_age_10_18",NA,2023,NA,NA
"S01013452","FSM",0.344827586206897,"cilif_age_10_18",0.103448275862069,2023,0.144340008388488,"Normal"
"S01013453","FSM",0.139240506329114,"cilif_age_10_18",0.683544303797468,2023,0.240424881689387,"Normal"
"S01013454","FSM",0.388235294117647,"cilif_age_10_18",0.211764705882353,2023,0.162281124951458,"Normal"
"S01013455","FSM",0.0119760479041916,"cilif_age_10_18",0.119760479041916,2023,0.147041898938183,"Normal"
"S01013456","FSM",0.333333333333333,"cilif_age_10_18",0.403508771929825,2023,0.194040874036349,"Normal"
"S01013457","FSM",0.123809523809524,"cilif_age_10_18",0.314285714285714,2023,0.179262310184146,"Normal"
"S01013458","FSM",0.0294117647058823,"cilif_age_10_18",0.176470588235294,2023,0.156435143150041,"Normal"
"S01013459","FSM",0.529411764705882,"cilif_age_10_18",0.470588235294118,2023,0.20515165816185,"Normal"
"S01013460","FSM",0.087378640776699,"cilif_age_10_18",0.339805825242718,2023,0.183489363137181,"Normal"
"S01013461","FSM",0.0991735537190083,"cilif_age_10_18",0.264462809917355,2023,0.171009836070929,"Normal"
"S01013462","FSM",0,"cilif_age_10_18",0.138461538461538,2023,0.150139470440822,"Normal"
"S01013463","FSM",0.00531914893617021,"cilif_age_10_18",0.329787234042553,2023,0.181829922251941,"Normal"
"S01013464","FSM",0,"cilif_age_10_18",0.195121951219512,2023,0.159524483126399,"Normal"
"S01013465","FSM",0.72972972972973,"cilif_age_10_18",NA,2023,NA,NA
"S01013466","FSM",0.119266055045872,"cilif_age_10_18",0.100917431192661,2023,0.143920809018567,"Normal"
"S01013467","FSM",0.00787401574803149,"cilif_age_10_18",0.0866141732283465,2023,0.141551672422024,"Normal"
"S01013468","FSM",0.333333333333333,"cilif_age_10_18",0.298245614035088,2023,0.176605489716334,"Normal"
"S01013469","FSM",0.605263157894737,"cilif_age_10_18",0.105263157894737,2023,0.144640618462971,"Normal"
"S01013470","FSM",0.0338983050847458,"cilif_age_10_18",0.457627118644068,2023,0.203004828686753,"Normal"
"S01013471","FSM",0.0454545454545454,"cilif_age_10_18",0.272727272727273,2023,0.172378729881178,"Normal"
"S01013472","FSM",0.0412371134020618,"cilif_age_10_18",0.123711340206186,2023,0.147696304374727,"Normal"
"S01013473","FSM",0.169491525423729,"cilif_age_10_18",0.0932203389830508,2023,0.142645892290766,"Normal"
"S01013474","FSM",0.180555555555556,"cilif_age_10_18",0.111111111111111,2023,0.145609250925194,"Normal"
"S01013475","FSM",0.883720930232558,"cilif_age_10_18",0.325581395348837,2023,0.181133283318818,"Higher"
"S01013476","FSM",0.255813953488372,"cilif_age_10_18",0.348837209302326,2023,0.18498528683138,"Normal"
"S01013477","FSM",0.75609756097561,"cilif_age_10_18",0.195121951219512,2023,0.159524483126399,"Higher"
"S01013478","FSM",0.0833333333333333,"cilif_age_10_18",0.333333333333333,2023,0.182417284489672,"Normal"
"S01013479","FSM",0,"cilif_age_10_18",0.294117647058824,2023,0.175921749154764,"Normal"
"S01013480","FSM",0,"cilif_age_10_18",0.387096774193548,2023,0.191322453900433,"Normal"
"S01013481","FSM",0,"cilif_age_10_18",0.258064516129032,2023,0.169950047314607,"Normal"
"S01013243","EMA",0,"cilif_age_16_18",0.6875,2023,0.14354578891747,"Lower"
"S01013244","EMA",0,"cilif_age_16_18",0.380952380952381,2023,0.0898741848442539,"Normal"
"S01013245","EMA",0.138888888888889,"cilif_age_16_18",NA,2023,NA,NA
"S01013246","EMA",0.19047619047619,"cilif_age_16_18",0.428571428571429,2023,0.0982115213993165,"Normal"
"S01013247","EMA",0.238095238095238,"cilif_age_16_18",0.428571428571429,2023,0.0982115213993165,"Normal"
"S01013248","EMA",0.0384615384615385,"cilif_age_16_18",0.346153846153846,2023,0.0837815158232465,"Normal"
"S01013249","EMA",0.166666666666667,"cilif_age_16_18",NA,2023,NA,NA
"S01013250","EMA",0.0217391304347826,"cilif_age_16_18",NA,2023,NA,NA
"S01013251","EMA",0,"cilif_age_16_18",0.702702702702703,2023,0.146207539946029,"Lower"
"S01013252","EMA",0,"cilif_age_16_18",0.363636363636364,2023,0.0868424260969583,"Normal"
"S01013253","EMA",0.352941176470588,"cilif_age_16_18",0.470588235294118,2023,0.105567994830254,"Normal"
"S01013254","EMA",0.1,"cilif_age_16_18",0.6,2023,0.128225932997542,"Normal"
"S01013255","EMA",0.0666666666666667,"cilif_age_16_18",0.266666666666667,2023,0.0698645771121034,"Normal"
"S01013256","EMA",0.129032258064516,"cilif_age_16_18",0.290322580645161,2023,0.0740063507555862,"Normal"
"S01013257","EMA",0.0476190476190476,"cilif_age_16_18",NA,2023,NA,NA
"S01013258","EMA",0.117647058823529,"cilif_age_16_18",0.470588235294118,2023,0.105567994830254,"Normal"
"S01013259","EMA",0.172413793103448,"cilif_age_16_18",0.517241379310345,2023,0.113736217053571,"Normal"
"S01013260","EMA",0,"cilif_age_16_18",0.3,2023,0.0757007127006473,"Normal"
