Datazone,uptake_measure,uptake_rate,demand_measure,demand_rate,display_year
S01013243,FSM,0.5813953488372093,cilif_age_10_18,0.32558139534883723,2023
S01013243,EMA,0,cilif_age_16_18,0.4375,2023
S01013243,CG,0.21428571428571427,cilif_age_5_15,0.26785714285714285,2023
S01013243,FSM,1,cilif_age_10_18,0.13953488372093023,2025
S01013243,EMA,0.3125,cilif_age_16_18,0.3125,2025
S01013243,CG,1.0714285714285714,cilif_age_5_15,0.10714285714285714,2025
S01013243,UC,0.6833333333333333,unemployed_households_with_children,0.11666666666666667,2025
S01013244,FSM,0.3770491803278688,cilif_age_10_18,0.39344262295081966,2023
S01013244,EMA,0,cilif_age_16_18,0.23809523809523808,2023
S01013244,CG,0.3466666666666667,cilif_age_5_15,0.3333333333333333,2023
S01013244,FSM,0.16393442622950818,cilif_age_10_18,0.2786885245901639,2025
S01013244,EMA,0.047619047619047616,cilif_age_16_18,0.5238095238095238,2025
S01013244,CG,0.17333333333333334,cilif_age_5_15,0.17333333333333334,2025
S01013244,UC,0.6818181818181818,unemployed_households_with_children,0.15151515151515152,2025
S01013245,FSM,0.17757009345794392,cilif_age_10_18,0.11214953271028037,2023
S01013245,EMA,0.1388888888888889,cilif_age_16_18,NA,2023
S01013245,CG,0.17355371900826447,cilif_age_5_15,0.1652892561983471,2023
S01013245,FSM,0.028037383177570093,cilif_age_10_18,0.21495327102803738,2025
S01013245,EMA,0.027777777777777776,cilif_age_16_18,NA,2025
S01013245,CG,0.35537190082644626,cilif_age_5_15,0.2396694214876033,2025
S01013245,UC,0.3047619047619048,unemployed_households_with_children,0.10476190476190476,2025
S01013246,FSM,0.2,cilif_age_10_18,0.17142857142857143,2023
S01013246,EMA,0.19047619047619047,cilif_age_16_18,0.2857142857142857,2023
S01013246,CG,0.0975609756097561,cilif_age_5_15,0.06097560975609756,2023
S01013246,FSM,0.014285714285714285,cilif_age_10_18,0.17142857142857143,2025
S01013246,EMA,0.42857142857142855,cilif_age_16_18,0.2857142857142857,2025
S01013246,CG,0.47560975609756095,cilif_age_5_15,0.2073170731707317,2025
S01013246,UC,0.2,unemployed_households_with_children,0.025,2025
S01013247,FSM,0.5076923076923077,cilif_age_10_18,0.3076923076923077,2023
S01013247,EMA,0.23809523809523808,cilif_age_16_18,0.2857142857142857,2023
S01013247,CG,1.3943661971830985,cilif_age_5_15,0.3380281690140845,2023
S01013247,FSM,0.09230769230769231,cilif_age_10_18,0.3384615384615385,2025
S01013247,EMA,0.09523809523809523,cilif_age_16_18,0.42857142857142855,2025
S01013247,CG,0.39436619718309857,cilif_age_5_15,0.29577464788732394,2025
S01013247,UC,0.625,unemployed_households_with_children,0.1625,2025
S01013248,FSM,0.12,cilif_age_10_18,0.21333333333333335,2023
S01013248,EMA,0.038461538461538464,cilif_age_16_18,0.23076923076923078,2023
S01013248,CG,0.925531914893617,cilif_age_5_15,0.3191489361702128,2023
S01013248,FSM,0.25333333333333335,cilif_age_10_18,0.18666666666666668,2025
S01013248,EMA,0,cilif_age_16_18,0.23076923076923078,2025
S01013248,CG,0.5851063829787234,cilif_age_5_15,0.19148936170212766,2025
S01013248,UC,0.6962025316455697,unemployed_households_with_children,0.20253164556962025,2025
S01013249,FSM,0.28888888888888886,cilif_age_10_18,0.13333333333333333,2023
S01013249,EMA,0.16666666666666666,cilif_age_16_18,NA,2023
S01013249,CG,0.07017543859649122,cilif_age_5_15,0.22807017543859648,2023
S01013249,FSM,0.4,cilif_age_10_18,0.3111111111111111,2025
S01013249,EMA,0.08333333333333333,cilif_age_16_18,0.75,2025
S01013249,CG,0.19298245614035087,cilif_age_5_15,0.24561403508771928,2025
S01013249,UC,0.46,unemployed_households_with_children,0.14,2025
S01013250,FSM,0.11965811965811966,cilif_age_10_18,0.1282051282051282,2023
S01013250,EMA,0.021739130434782608,cilif_age_16_18,NA,2023
S01013250,CG,0.3128834355828221,cilif_age_5_15,0.09202453987730061,2023
